YEAR,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1993,1499,1037,1283,10940,3086,1438,527.7,690.9,556.7,1048,1910,4241
1994,1679,1501,2296,8732,5637,1778,1031,925.3,1111,1072,975,2500
1995,3501,1737,3223,2751,2444,1182,603.9,556.7,341.6,2293,7048,2075
1996,3401,4734,4148,7942,7558,2413,3515,1526,682.2,3646,3616,5529
1997,2381,1408,2745,8054,5696,2199,1983,937.9,1098,941,3862,1484
1998,2151,2091,5891,7835,4369,9008,3778,1082,770.9,2658,1910,1996
1999,2320,2921,5469,6383,3260,1258,826.3,594.9,3733,3033,3015,2507
2000,1737,1130,4338,9088,4593,1901,1364,1072,620.4,882.5,1703,2618
2001,1850,1054,1214,7195,4381,2475,836,431.8,439.3,721.4,661.1,1103
2002,751.3,1048,2665,6362,4254,2614,824.4,394,348.5,852.5,1910,1672
2003,1280,951.6,2255,5607,4090,2001,639.3,2312,1509,3287,5703,7256
2004,3014,1324,1599,6208,3457,1825,1011,1180,1647,974.4,1514,4367
2005,2385,1567,1530,10890,7755,4680,1996,767,1340,7867,6372,4306
2006,5357,4241,2304,3135,7268,4626,3251,1344,779.3,2790,7343,3731
2007,3252,1627,2355,9342,5598,2562,1007,563.7,481.5,1023,2485,1887
2008,2778,2336,3984,10090,6141,1686,2212,4628,2244,2782,4384,5775
2009,2395,1693,3382,8433,3752,3605,5817,3418,1269,2401,3602,4413
2010,3052,3085,7175,8606,2806,1332,970.3,678.4,547.9,2670,3704,5426
2011,1767,1060,5402,8810,6825,2229,991.6,1554,3545,4975,3192,4938
2012,2914,1816,3622,2719,3820,6478,1197,1482,1508,2596,3961,2999
2013,2475,3606,2820,5196,3341,2750,3245,1820,2240,1236,1903,2522
2014,3324,1654,1449,8930,4805,2519,2442,2260,690.6,1707,1779,3832
2015,2470,1226,1091,5292,2722,2103,1989,873.2,665.3,,,
Mean of,2090,1940,3180,7310,5380,2630,1500,1140,1090,1680,2570,2740
monthly,,,,,,,,,,,,
Discharge,,,,,,,,,,,,
